"CollectionNumber","Year","Paper","OriginalQuestion","Type","Tags","Reason"
"22","2016","全国I卷-文科","4","single_choice","三角形、三角函数","核心考点是解三角形，使用余弦定理求边。"
"23","2016","全国I卷-文科","6","single_choice","三角函数","核心考点是三角函数的图象变换，平移变换。"
"24","2016","全国I卷-文科","12","single_choice","三角函数","核心考点是三角函数的单调性，利用导数或三角恒等变换求参数范围。"
"25","2016","全国I卷-文科","13","fill_blank","向量","核心考点是向量的垂直条件，数量积为零。"
"26","2016","全国I卷-文科","14","fill_blank","三角函数","核心考点是三角恒等变换，利用诱导公式和同角关系求值。"
"27","2017","全国III卷-理科","6","single_choice","三角函数","核心考点是三角函数的性质，包括周期、对称轴、零点和单调性。"
"28","2017","全国III卷-理科","12","single_choice","向量","核心考点是平面向量的线性表示和坐标运算，结合几何最值。"
"29","2017","全国III卷-理科","17","solution","三角形、三角函数","核心考点是解三角形，利用正弦定理、余弦定理和面积公式。"
"30","2017","全国III卷-文科","4","single_choice","三角函数","核心考点是三角恒等变换，利用二倍角公式求值。"
"31","2017","全国III卷-文科","6","single_choice","三角函数","核心考点是三角函数的恒等变换和最大值。"
"32","2017","全国III卷-文科","7","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"33","2017","全国III卷-文科","13","fill_blank","向量","核心考点是向量的垂直条件，数量积为零。"
"34","2017","全国III卷-文科","15","fill_blank","三角形","核心考点是解三角形，使用正弦定理或余弦定理求角。"
"35","2017","全国II卷-理科","10","single_choice","向量","核心考点是空间向量的坐标运算，求异面直线所成角的余弦值。"
"36","2017","全国II卷-理科","12","single_choice","向量","核心考点为平面向量的数量积运算，求最小值。"
"37","2017","全国II卷-理科","14","fill_blank","三角函数","核心考点为三角函数恒等变换与最值。"
"38","2017","全国II卷-理科","17","solution","三角形、三角函数","核心考点为解三角形，涉及正弦定理、余弦定理、三角形面积公式及三角恒等变换。"
"39","2017","全国II卷-理科","20","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"40","2017","全国II卷-文科","3","single_choice","三角函数","核心考点为三角函数的最小正周期。"
"41","2017","全国II卷-文科","4","single_choice","向量","核心考点为平面向量的模与垂直关系。"
"42","2017","全国II卷-文科","13","fill_blank","三角函数","核心考点为三角函数的最值。"
"43","2017","全国II卷-文科","16","fill_blank","三角形、三角函数","核心考点为解三角形，利用正弦定理求角。"
"44","2017","全国II卷-文科","20","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"45","2017","全国I卷-理科","9","single_choice","三角函数","核心考点为三角函数的图象变换。"
"46","2017","全国I卷-理科","13","fill_blank","向量","核心考点为平面向量的数量积与模长计算。"
"47","2017","全国I卷-理科","17","solution","三角形、三角函数","核心考点为解三角形，涉及面积公式、正弦定理、余弦定理及三角恒等变换。"
"48","2017","全国I卷-文科","8","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"49","2017","全国I卷-文科","11","single_choice","三角形、三角函数","核心考点为解三角形，利用正弦定理和三角恒等变换求角。"
"50","2017","全国I卷-文科","13","fill_blank","向量","核心考点为平面向量的垂直条件。"
"51","2017","全国I卷-文科","15","fill_blank","三角函数","核心考点为三角恒等变换求值。"
"52","2018","全国III卷-理科","4","single_choice","三角函数","核心考点为二倍角公式。"
"53","2018","全国III卷-理科","9","single_choice","三角形、三角函数","核心考点为解三角形，利用面积公式和余弦定理求角。"
"54","2018","全国III卷-理科","13","fill_blank","向量","核心考点为平面向量的共线条件。"
"55","2018","全国III卷-理科","15","fill_blank","三角函数","核心考点为三角函数的零点。"
"56","2018","全国III卷-理科","20","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"57","2018","全国III卷-文科","4","single_choice","三角函数","已知正弦值求二倍角余弦，核心是三角恒等变换。"
"58","2018","全国III卷-文科","6","single_choice","三角函数","求三角函数的最小正周期，核心是三角函数的性质。"
"59","2018","全国III卷-文科","11","single_choice","三角形","利用三角形面积公式和余弦定理求角，核心是解三角形。"
"60","2018","全国III卷-文科","13","fill_blank","向量","向量共线的坐标运算，核心是向量。"
"61","2018","全国III卷-文科","20","solution","向量","涉及向量和为零的条件，核心是向量运算。"
"62","2018","全国II卷-理科","4","single_choice","向量","向量数量积的运算，核心是向量。"
"63","2018","全国II卷-理科","6","single_choice","三角形、三角函数","已知两边及一角余弦求第三边，核心是解三角形。"
"64","2018","全国II卷-理科","10","single_choice","三角函数","三角函数的单调性，核心是三角函数性质。"
"65","2018","全国II卷-理科","15","fill_blank","三角函数","三角恒等变换求正弦和角，核心是三角函数。"
"66","2018","全国II卷-文科","4","single_choice","向量","向量数量积的运算，核心是向量。"
"67","2018","全国II卷-文科","7","single_choice","三角形、三角函数","已知两边及一角余弦求第三边，核心是解三角形。"
"68","2018","全国II卷-文科","10","single_choice","三角函数","三角函数的单调性，核心是三角函数性质。"
"69","2018","全国II卷-文科","15","fill_blank","三角函数","三角恒等变换求正切，核心是三角函数。"
"70","2018","全国I卷-理科","6","single_choice","向量、三角形","向量线性表示，核心是向量运算。"
"71","2018","全国I卷-理科","8","single_choice","向量","向量数量积的坐标运算，核心是向量。"
"72","2018","全国I卷-理科","16","fill_blank","三角函数","求三角函数的最值，核心是三角函数。"
"73","2018","全国I卷-理科","17","solution","三角形、三角函数","解三角形求余弦和边长，核心是解三角形。"
"74","2018","全国I卷-文科","7","single_choice","向量、三角形","核心考点为平面向量的线性运算，利用三角形中线和中点表示向量。"
"75","2018","全国I卷-文科","8","single_choice","三角函数","核心考点为三角恒等变换和三角函数性质，求最小正周期和最大值。"
"76","2018","全国I卷-文科","11","single_choice","三角函数","核心考点为三角函数的定义和倍角公式，利用终边上的点求三角函数值。"
"77","2018","全国I卷-文科","16","fill_blank","三角形、三角函数","核心考点为解三角形，利用正弦定理和余弦定理求三角形面积。"
"78","2019","全国III卷-理科","12","single_choice","三角函数","核心考点为三角函数的图象与性质，包括零点、极值点和单调性。"
"79","2019","全国III卷-理科","13","fill_blank","向量、三角函数","核心考点为平面向量的数量积和夹角计算。"
"80","2019","全国III卷-理科","18","solution","三角形、三角函数","核心考点为解三角形，利用正弦定理求角，并求三角形面积的取值范围。"
"81","2019","全国III卷-文科","5","single_choice","三角函数","核心考点为三角函数的零点问题，求函数在区间内的零点个数。"
"82","2019","全国III卷-文科","13","fill_blank","向量、三角函数","核心考点为平面向量的夹角余弦计算。"
"83","2019","全国III卷-文科","18","solution","三角形、三角函数","核心考点为解三角形，利用正弦定理求角，并求三角形面积的取值范围。"
"84","2019","全国II卷-理科","3","single_choice","向量","核心考点为平面向量的坐标运算和数量积。"
"85","2019","全国II卷-理科","9","single_choice","三角函数","核心考点为三角函数的周期性和单调性。"
"86","2019","全国II卷-理科","10","single_choice","三角函数","核心考点为三角恒等变换，利用倍角公式求正弦值。"
"87","2019","全国II卷-理科","15","fill_blank","三角形","核心考点为解三角形，利用余弦定理和面积公式求三角形面积。"
"88","2019","全国II卷-文科","3","single_choice","向量","核心考点为平面向量的模长计算。"
"89","2019","全国II卷-文科","8","single_choice","三角函数","核心考点为三角函数的极值点与周期关系。"
"90","2019","全国II卷-文科","10","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"91","2019","全国II卷-文科","11","single_choice","三角函数","核心考点为三角恒等变换，利用倍角公式求正弦值。"
"92","2019","全国II卷-文科","15","fill_blank","三角形、三角函数","核心考点是解三角形，利用正弦定理边角互化求角B。"
"93","2019","全国I卷-理科","5","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"94","2019","全国I卷-理科","7","single_choice","向量","核心考点是向量垂直与夹角计算。"
"95","2019","全国I卷-理科","11","single_choice","三角函数","核心考点是三角函数的奇偶性、单调性、零点与最值。"
"96","2019","全国I卷-理科","16","fill_blank","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"97","2019","全国I卷-理科","17","solution","三角形、三角函数","核心考点是解三角形，利用正弦定理和三角恒等变换求角A和sinC。"
"98","2019","全国I卷-理科","19","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"99","2019","全国I卷-理科","20","solution","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"100","2019","全国I卷-文科","5","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"101","2019","全国I卷-文科","7","single_choice","三角函数","核心考点是诱导公式与特殊角三角函数值。"
"102","2019","全国I卷-文科","8","single_choice","向量","核心考点是向量垂直与夹角计算。"
"103","2019","全国I卷-文科","10","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"104","2019","全国I卷-文科","11","single_choice","三角形、三角函数","核心考点是解三角形，利用正弦定理和余弦定理求边比。"
"105","2019","全国I卷-文科","15","fill_blank","三角函数","核心考点是三角恒等变换求最小值。"
"106","2019","全国I卷-文科","20","solution","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"107","2020","全国III卷-理科","6","single_choice","向量、三角函数","核心考点是向量数量积与夹角余弦值计算。"
"108","2020","全国III卷-理科","7","single_choice","三角形、三角函数","核心考点是解三角形，利用余弦定理求角B的余弦值。"
"109","2020","全国III卷-理科","9","single_choice","三角函数","核心考点是三角恒等变换求正切值。"
"110","2020","全国III卷-理科","16","fill_blank","三角函数","核心考点是三角函数的对称性与最值。"
"111","2020","全国III卷-文科","5","single_choice","三角函数","核心考点是三角恒等变换求正弦值。"
"112","2020","全国III卷-文科","6","single_choice","向量","核心考点是向量数量积与轨迹方程。"
"113","2020","全国III卷-文科","11","single_choice","三角形、三角函数","核心考点是解三角形，利用余弦定理和同角关系求正切值。"
"114","2020","全国III卷-文科","12","single_choice","三角函数","核心考点是三角函数的对称性与最值。"
"115","2020","全国II卷-理科","2","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"116","2020","全国II卷-理科","13","fill_blank","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"117","2020","全国II卷-理科","17","solution","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"118","2020","全国II卷-理科","21","solution","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"119","2020","全国II卷-文科","5","single_choice","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"120","2020","全国II卷-文科","13","fill_blank","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"121","2020","全国II卷-文科","17","solution","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"122","2020","全国I卷-理科","7","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"123","2020","全国I卷-理科","9","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"124","2020","全国I卷-理科","14","fill_blank","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"125","2020","全国I卷-理科","16","fill_blank","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"126","2020","全国I卷-理科","20","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"127","2020","全国I卷-文科","7","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"128","2020","全国I卷-文科","14","fill_blank","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"129","2020","全国I卷-文科","18","solution","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"130","2020","全国I卷-文科","21","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"131","2021","北京卷","7","single_choice","三角函数","核心考点为三角函数的奇偶性和最值，涉及余弦函数及二倍角公式。"
"132","2021","北京卷","13","fill_blank","向量","核心考点为平面向量的坐标运算和数量积。"
"133","2021","北京卷","14","fill_blank","三角函数","核心考点为三角函数的对称性，涉及余弦和正弦函数。"
"134","2021","北京卷","16","solution","三角形、三角函数","核心考点为解三角形，涉及正弦定理、余弦定理和三角形面积。"
"135","2021","全国甲卷-理科","5","single_choice","三角形","核心考点为双曲线离心率，但涉及三角形中的边角关系（余弦定理），且三角形是解题核心。"
"136","2021","全国甲卷-理科","8","single_choice","三角形、三角函数","核心考点为解三角形，涉及仰角、正弦定理和三角函数。"
"137","2021","全国甲卷-理科","9","single_choice","三角函数","核心考点为三角恒等变换，涉及正切二倍角公式和同角关系。"
"138","2021","全国甲卷-理科","14","fill_blank","向量","核心考点为平面向量的垂直条件及坐标运算。"
"139","2021","全国甲卷-理科","16","fill_blank","三角函数","核心考点为三角函数的图像与性质，涉及余弦函数的周期和相位。"
"140","2021","全国甲卷-理科","22","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"141","2021","全国甲卷-文科","8","single_choice","三角形","核心考点为解三角形，涉及余弦定理。"
"142","2021","全国甲卷-文科","11","single_choice","三角函数","核心考点为三角恒等变换，涉及正切二倍角公式。"
"143","2021","全国甲卷-文科","13","fill_blank","向量","核心考点为平面向量的模和数量积运算。"
"144","2021","全国甲卷-文科","15","fill_blank","三角函数","核心考点为三角函数的图像与性质，涉及余弦函数。"
"145","2021","全国甲卷-文科","22","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"146","2021","全国乙卷-理科","3","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"147","2021","全国乙卷-理科","7","single_choice","三角函数","核心考点为三角函数的图像变换，涉及伸缩和平移。"
"148","2021","全国乙卷-理科","14","fill_blank","向量","核心考点为平面向量的垂直条件及坐标运算。"
"149","2021","全国乙卷-理科","15","fill_blank","三角形","核心考点为解三角形，涉及余弦定理和三角形面积公式。"
"150","2021","全国乙卷-文科","3","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"151","2021","全国乙卷-文科","4","single_choice","三角函数","核心考点为三角函数的周期和最值，涉及正弦和余弦的辅助角公式。"
"152","2021","全国乙卷-文科","6","single_choice","三角函数","核心考点为三角恒等变换，涉及余弦的倍角公式。"
"153","2021","全国乙卷-文科","8","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"154","2021","全国乙卷-文科","13","fill_blank","向量","核心考点为平面向量的平行条件及坐标运算。"
"155","2021","全国乙卷-文科","15","fill_blank","三角形","核心考点是解三角形，使用正弦定理、余弦定理和面积公式。"
"156","2021","全国乙卷-文科","20","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"157","2021","上海春季卷","12","fill_blank","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"158","2021","上海春季卷","13","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"159","2021","上海春季卷","16","single_choice","向量、三角形","核心考点是平面向量的数量积和共线条件。"
"160","2021","上海春季卷","18","solution","三角形、三角函数","核心考点是解三角形，涉及正弦定理、余弦定理和三角恒等变换。"
"161","2021","上海卷","4","fill_blank","向量","核心考点是平面向量的数量积运算。"
"162","2021","上海卷","15","single_choice","三角函数","核心考点是三角函数的性质与恒等变换。"
"163","2021","上海卷","18","solution","三角形、三角函数","核心考点是解三角形，涉及正弦定理、余弦定理和面积公式。"
"164","2021","上海卷","20","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"165","2021","天津卷","9","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"166","2021","天津卷","15","fill_blank","向量","核心考点是平面向量的线性运算和数量积。"
"167","2021","天津卷","16","solution","三角形、三角函数","核心考点是解三角形，涉及正弦定理、余弦定理和三角恒等变换。"
"168","2021","新高考II卷","4","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"169","2021","新高考II卷","15","fill_blank","向量","核心考点是平面向量的数量积运算。"
"170","2021","新高考II卷","18","solution","三角形、三角函数","核心考点是解三角形，涉及正弦定理、余弦定理和面积公式。"
"171","2021","新高考I卷","4","single_choice","三角函数","核心考点是三角函数的单调性。"
"172","2021","新高考I卷","6","single_choice","三角函数","核心考点是三角恒等变换，涉及同角三角函数关系和二倍角公式。"
"173","2021","新高考I卷","10","multiple_choice","三角函数、向量","涉及三角函数定义、向量模长和数量积运算"
"174","2021","新高考I卷","12","multiple_choice","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"175","2021","新高考I卷","19","solution","三角形、三角函数","核心考点为解三角形，使用正弦定理、余弦定理及边角关系"
"176","2021","浙江卷","3","single_choice","向量","核心考点为向量数量积与向量相等的关系"
"177","2021","浙江卷","7","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"178","2021","浙江卷","8","single_choice","三角函数","涉及三角函数值比较，核心为三角恒等变换"
"179","2021","浙江卷","14","fill_blank","三角形、三角函数","解三角形问题，使用余弦定理求边和角"
"180","2021","浙江卷","17","fill_blank","向量","核心考点为平面向量的投影和数量积"
"181","2021","浙江卷","18","solution","三角函数","核心考点为三角函数的周期和最值"
"182","2022","北京卷","5","single_choice","三角函数","核心考点为三角函数的单调性"
"183","2022","北京卷","10","single_choice","向量、三角形","涉及向量数量积和直角三角形"
"184","2022","北京卷","13","fill_blank","三角函数","核心考点为三角函数的零点与求值"
"185","2022","北京卷","16","solution","三角形、三角函数","解三角形，使用正弦定理和面积公式"
"186","2022","全国甲卷-理科","5","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"187","2022","全国甲卷-理科","11","single_choice","三角函数","核心考点为三角函数的极值点和零点"
"188","2022","全国甲卷-理科","12","single_choice","三角函数","涉及三角函数值比较，核心为三角恒等变换"
"189","2022","全国甲卷-理科","13","fill_blank","向量","核心考点为向量数量积运算"
"190","2022","全国甲卷-理科","16","fill_blank","三角形","解三角形，利用余弦定理求最值"
"191","2022","全国甲卷-文科","5","single_choice","三角函数","核心考点为三角函数图像变换"
"192","2022","全国甲卷-文科","7","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"193","2022","全国甲卷-文科","11","single_choice","向量","涉及向量数量积与椭圆方程"
"194","2022","全国甲卷-文科","13","fill_blank","向量","核心考点为向量垂直的坐标表示"
"195","2022","全国甲卷-文科","16","fill_blank","三角形","解三角形，利用余弦定理求最值"
"196","2022","全国乙卷-理科","3","single_choice","向量","核心考点为平面向量的数量积运算，通过模长关系求数量积。"
"197","2022","全国乙卷-理科","11","single_choice","三角形、三角函数","涉及双曲线与圆的几何性质，但核心是解三角形中的余弦定理求离心率。"
"198","2022","全国乙卷-理科","15","fill_blank","三角函数","核心考点为三角函数的周期性和零点，求参数ω的最小值。"
"199","2022","全国乙卷-理科","17","solution","三角形、三角函数","核心考点为解三角形，利用正弦定理和余弦定理证明边的关系并求周长。"
"200","2022","全国乙卷-理科","20","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"201","2022","全国乙卷-文科","3","single_choice","向量","核心考点为平面向量的坐标运算和模长计算。"
"202","2022","全国乙卷-文科","8","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"203","2022","全国乙卷-文科","11","single_choice","三角函数","核心考点为三角函数的最值问题，求给定区间上的最大值和最小值。"
"204","2022","全国乙卷-文科","17","solution","三角形、三角函数","核心考点为解三角形，利用正弦定理和三角恒等变换求角并证明边的关系。"
"205","2022","全国乙卷-文科","21","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"206","2022","上海卷","1","fill_blank","三角形","核心考点为立体几何中的三棱锥体积和线面角，涉及解三角形。"
"207","2022","上海卷","2","fill_blank","三角函数","核心考点为三角函数的周期，通过恒等变换求最小正周期。"
"208","2022","上海卷","3","fill_blank","向量、三角形、三角函数","核心考点为空间向量的位置关系，判断点与线段是否可视。"
"209","2022","上海卷","4","fill_blank","三角形","核心考点为椭圆与直线综合，涉及解三角形求参数。"
"210","2022","上海卷","10","fill_blank","向量","核心考点为平面向量的数量积和模长，通过方程组求解。"
"211","2022","天津卷","9","single_choice","三角函数","核心考点为三角函数的性质，包括周期、单调性、值域和图像变换。"
"212","2022","天津卷","14","fill_blank","向量、三角形","核心考点为平面向量的线性表示和数量积，结合三角形求角的最大值。"
"213","2022","天津卷","16","solution","三角形、三角函数","核心考点为解三角形和三角恒等变换，求边、角及三角函数值。"
"214","2022","天津卷","20","solution","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"215","2022","新高考II卷","4","single_choice","向量","核心考点为平面向量的坐标运算和夹角相等条件。"
"216","2022","新高考II卷","6","single_choice","三角函数","核心考点为三角恒等变换，利用和差公式化简求值。"
"217","2022","新高考II卷","9","multiple_choice","三角函数","核心考点为三角函数的图像与性质，包括对称性、单调性、极值和切线。"
"218","2022","新高考II卷","18","solution","三角形、三角函数","核心考点是解三角形，涉及正弦定理、余弦定理、三角形面积公式及三角恒等变换。"
"219","2022","新高考I卷","3","single_choice","向量、三角形","核心考点是平面向量的线性运算，用基底表示向量。"
"220","2022","新高考I卷","6","single_choice","三角函数","核心考点是三角函数的图象与性质，包括周期、对称中心及求值。"
"221","2022","新高考I卷","18","solution","三角形、三角函数","核心考点是解三角形，涉及正弦定理、余弦定理、三角恒等变换及最值。"
"222","2022","新高考I卷","21","solution","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"223","2022","浙江卷","4","single_choice","三角函数","核心考点是三角函数的充要条件，涉及正弦和余弦的关系。"
"224","2022","浙江卷","6","single_choice","三角函数","核心考点是三角函数的图象变换，平移变换。"
"225","2022","浙江卷","11","fill_blank","三角形","核心考点是三角形面积公式，直接代入三边求面积。"
"226","2022","浙江卷","13","fill_blank","三角函数","核心考点是三角恒等变换，利用诱导公式和同角关系求值。"
"227","2022","浙江卷","17","fill_blank","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"228","2022","浙江卷","18","solution","三角形、三角函数","核心考点是解三角形，涉及正弦定理、余弦定理和三角形面积。"
"229","2023","北京卷","3","single_choice","向量","核心考点是平面向量的坐标运算和模长计算。"
"230","2023","北京卷","7","single_choice","三角形、三角函数","核心考点是解三角形，利用正弦定理和余弦定理求角。"
"231","2023","北京卷","13","fill_blank","三角函数","核心考点是三角函数的单调性，构造反例说明命题为假。"
"232","2023","北京卷","17","solution","三角函数","核心考点是三角函数的图象与性质，包括辅助角公式、单调性和对称性。"
"233","2023","全国甲卷-理科","4","single_choice","向量、三角函数","核心考点是平面向量的数量积和夹角计算。"
"234","2023","全国甲卷-理科","7","single_choice","三角函数","核心考点是三角恒等变换和充要条件判断。"
"235","2023","全国甲卷-理科","10","single_choice","三角函数","核心考点是三角函数的图象变换和交点个数。"
"236","2023","全国甲卷-理科","12","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"237","2023","全国甲卷-理科","13","fill_blank","三角函数","核心考点是三角函数的奇偶性，利用诱导公式化简。"
"238","2023","全国甲卷-理科","16","fill_blank","三角形、三角函数","核心考点是解三角形，涉及角平分线定理和余弦定理。"
"239","2023","全国甲卷-理科","20","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"240","2023","全国甲卷-理科","21","solution","三角函数","核心考点是三角函数的单调性和恒成立问题，涉及导数。"
"241","2023","全国甲卷-文科","3","single_choice","三角函数、向量","强规则兜底：题干直接命中专题核心符号或术语。"
"242","2023","全国甲卷-文科","7","single_choice","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"243","2023","全国甲卷-文科","12","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"244","2023","全国甲卷-文科","14","fill_blank","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"245","2023","全国甲卷-文科","17","solution","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"246","2023","全国甲卷-文科","20","solution","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"247","2023","全国甲卷-文科","21","solution","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"248","2023","全国乙卷-理科","6","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"249","2023","全国乙卷-理科","10","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"250","2023","全国乙卷-理科","12","single_choice","向量","强规则兜底：题干直接命中专题核心符号或术语。"
"251","2023","全国乙卷-理科","18","solution","三角函数、三角形","强规则兜底：题干直接命中专题核心符号或术语。"
"252","2023","全国乙卷-文科","4","single_choice","三角形、三角函数","正弦定理、余弦定理、边角关系是解题核心"
"253","2023","全国乙卷-文科","6","single_choice","向量","向量数量积运算为核心"
"254","2023","全国乙卷-文科","10","single_choice","三角函数","三角函数的图象、对称轴、单调性及求值"
"255","2023","全国乙卷-文科","14","fill_blank","三角函数","同角三角函数关系求值"
"256","2023","上海卷","4","fill_blank","三角函数","同角三角函数关系求值"
"257","2023","上海卷","7","fill_blank","三角形","三角形面积公式求角"
"258","2023","上海卷","8","fill_blank","三角形、三角函数","余弦定理求边"
"259","2023","上海卷","11","fill_blank","三角函数","三角函数最值问题"
"260","2023","上海卷","16","single_choice","向量","向量共线条件判断曲线性质"
"261","2023","天津卷","4","single_choice","三角函数","强规则兜底：题干直接命中专题核心符号或术语。"
"262","2023","天津卷","5","single_choice","三角函数","三角函数的周期和对称轴"
"263","2023","天津卷","14","fill_blank","向量、三角形","核心考点为向量表示和数量积，涉及三角形中点、边的关系。"
"264","2023","天津卷","16","solution","三角形、三角函数","核心考点为解三角形，使用正弦定理、余弦定理及三角恒等变换求值。"
"265","2023","新高考II卷","5","single_choice","三角形","三角形面积比转化为坐标关系"
"266","2023","新高考II卷","7","single_choice","三角函数","核心考点为三角恒等变换，利用半角公式求正弦值。"
"267","2023","新高考II卷","9","multiple_choice","三角形","解三角形求边长和面积"
"268","2023","新高考II卷","13","fill_blank","向量","核心考点为向量模的运算，通过向量关系求模长。"
"269","2023","新高考II卷","15","fill_blank","三角形","三角形面积公式求参数"
